MirBase Name	BR:BT_549	BR:HS578T	BR:MCF7	BR:MDA_MB_231	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60	LE:K_562	LE:MOLT_4	LE:RPMI_8226	LE:SR	ME:LOXIMVI	ME:M14	ME:MALME_3M	ME:SK_MEL_2	ME:SK_MEL_28	ME:SK_MEL_5	ME:UACC_257	ME:UACC_62	LC:A549	LC:EKVX	LC:NCI_H226	LC:NCI_H23	LC:NCI_H322M	LC:NCI_H460	LC:NCI_H522	LC:HOP_62	LC:HOP_92	OV:IGROV1	OV:OVCAR_3	OV:OVCAR_4	OV:OVCAR_5	OV:OVCAR_8	OV:SK_OV_3	PR:DU_145	PR:PC_3	RE:786_0	RE:A498	RE:ACHN	RE:CAKI_1	RE:RXF_393	RE:SN12C	RE:TK_10	RE:UO_31
hsa-mir-425	-2.866	-4.357	-3.876	-3.522	-2.573	-2.668	-2.461	-3.766	-4.306	-3.698	-2.206	-3.608	-3.202	-2.681	-2.693	-4.059	-3.421	-3.717	-1.912	-1.986	-1.38	-3.201	-2.894	-2.26	-3.518	-3.346	-3.345	-3.673	-2.607	-3.195	-3.36	-3.51	-2.808	-4.053	-3.652	-3.916	-4.285	-2.606	-3.024	-3.128	-3.602	-3.359	-2.972	-3.223	-3.785	-2.869	-3.045	-4.012	-3.366	-3.564	-2.894	-3.356	-3.723	-3.496	-3.518	-3.162	-3.319
hsa-mir-191	-3.185	-4.239	-3.908	-3.361	-2.898	-2.561	-2.211	-3.625	-4.104	-3.614	-1.958	-3.467	-3.205	-2.54	-2.58	-4.016	-3.509	-3.893	-2.502	-2.176	-1.301	-3.142	-2.905	-2.26	-3.315	-2.989	-3.345	-3.673	-2.531	-3.213	-3.36	-4.03	-2.705	-4.025	-3.779	-3.916	-4.272	-2.351	-3.903	-3.073	-3.606	-3.072	-2.821	-3.454	-3.785	-2.813	-2.723	-3.757	-3.366	-3.624	-2.894	-3.11	-3.59	-3.496	-3.622	-3.1	-3.137
hsa-let-7g	2.868	3.686	3.901	4.423	0.737	3.051	3.377	3.527	3.456	4.369	3.205	3.733	4.288	3.354	4.25	3.44	4.471	3.275	3.274	5.025	-0.72	5.7	5.139	4.709	1.235	3.392	4.275	4.095	3.476	4.072	2.457	2.141	3.413	3.333	3.368	3.862	4.113	3.035	3.892	4.434	3.218	2.817	3.533	4.498	3.901	3.564	4.635	2.961	5.004	3.943	3.228	3.083	2.778	3.237	3.777	4.107	3.453
hsa-mir-135a-1	-1.224	-4.01	-3.717	-2.967	-3.412	-2.737	-2.983	-2.747	-3.344	-2.865	-3.202	-2.808	-0.566	-2.549	-3.205	-3.963	-2.434	-3.404	-0.425	-2.89	-1.38	-3.201	-	-2.26	-	-2.348	-3.083	-2.109	-2.334	0.77	-2.661	-2.118	-2.891	-3.541	-3.074	-3.916	-4.004	-2.204	-3.903	-3.497	-3.147	-2.821	-3.07	-3.454	-3.595	-2.191	-3.045	-2.78	-3.366	-3.619	-2.084	-0.294	-1.914	-2.451	-2.939	-2.225	-1.501
hsa-mir-15b	3.907	4.561	4.575	4.543	5.958	3.954	4.233	4.952	4.311	4.762	4.558	4.853	3.739	3.129	4.234	3.33	4.584	3.538	4.721	4.746	4.803	6.233	6.24	4.731	3.323	3.673	4.414	4.694	4.993	4.08	4.323	3.32	4.052	3.592	3.883	4.772	4.625	3.175	4.156	4.739	4.999	3.434	5.748	5.609	5.509	3.871	5.452	4.123	4.761	4.812	3.687	2.726	3.357	5.04	4.072	5.189	3.475
hsa-mir-16-2	4.419	4.928	5.042	5.289	6.007	4.647	4.81	5.48	4.533	5.576	4.891	5.822	5.062	4.079	4.936	4.271	5.093	4.378	5.883	5.877	5.049	7.163	6.282	5.291	3.992	4.522	5.096	4.874	5.167	4.601	5.257	3.366	4.501	4.049	4.447	4.716	4.84	3.536	3.986	5.261	5.542	4.16	4.915	5.146	5.335	4.629	5.972	4.62	5.136	4.744	4.589	3.579	3.731	5.239	4.608	5.605	3.88
hsa-mir-551b	-3.802	-1.356	-4.002	-1.626	-3.412	-3.639	-3.093	-0.806	-4.306	-3.698	-2.534	-3.647	-3.615	-3.28	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	3.008	0.607	-2.062	0.266	-1.312	1.706	2.137	-3.213	-2.017	1.378	-2.891	-4.328	-4.374	-3.916	-1.504	-3.176	0.573	-2.322	-3.606	-4.028	-1.027	-2.394	-3.785	-3.661	-0.226	-4.34	0.47	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-1224	0.45	-3.312	-2.173	-1.766	-2.207	-0.74	-1.432	-2.125	-2.057	-1.895	-1.263	-1.505	-0.961	-1.589	-1.656	-2.027	-1.361	-1.337	1.659	-1.204	-1.041	-1.922	-0.496	0.038	-0.544	-0.988	-2.302	-2.711	-1.503	-1.457	-1.344	-0.424	-1.754	-1.269	-1.66	-2.719	-3.116	-0.964	-3.265	-1.853	-1.231	-1.297	-2.93	-2.645	-2.819	-0.3	-2.295	-1.378	-1.913	-2.749	-2.061	-0.319	-1.788	-1.201	-1.338	-1.827	-1.166
hsa-mir-28	-1.571	0.303	-2.088	-0.367	-0.92	-0.924	-1.021	-0.258	0.298	-0.138	-1.276	-0.658	-1.02	-1.524	-2.165	-1.325	-1.166	-2.247	-2.141	-2.059	-1.38	0.006	-2.905	-1.23	-1.483	-0.406	0.521	-0.117	0.982	-0.036	-0.855	-1.862	-0.589	0.258	-1.771	-0.115	-0.185	-2.312	-0.891	-0.148	0.335	-1.267	-0.807	-0.263	0.211	-1.951	0.126	-0.547	-0.898	0.392	0.401	-1.255	-1.684	0.038	-0.75	-0.659	-0.981
hsa-mir-95	-3.802	-4.41	-2.014	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-2.066	-3.278	-3.453	-4.116	-3.687	-2.471	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-0.815	-1.865	-3.753	-3.121	-3.176	-3.858	-3.497	-3.606	-4.028	-3.013	-2.575	-3.785	-3.589	-2.433	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
